Paper Name,City,County,State,Address,Chain,Website Url,Frequency
The Herald-Dispatch,Huntington,Cabell,WV,PO Box 2017,HD Media Group (flagship daily; HD also owns Charleston Gazette-Mail & regional weeklies),https://www.herald-dispatch.com,Daily
The Herald Record,West Union,Doddridge,WV,202 E Main St.,Independent (Family owned; Doddridge County Publishing),https://www.theheraldrecord.com,Tuesday
The Hinton News,Hinton,Summers,WV,PO Drawer 1000,Independent (Locally owned; Summers County weekly),N/A,Wednesday
The Hurricane Breeze,Hurricane,Putnam,WV,PO Box 336,Independent (The Breeze Newspaper LLC; family owned),https://www.hurricanebreezenews.com,Thursday
The Independent Herald,Pineville,Wyoming,WV,PO Box 100,HD Media Group (part of Boone/Logan/Mingo cluster),https://www.independentherald.com,Wednesday
The Intelligencer,Wheeling,Ohio,WV,1500 Main St.,Ogden Newspapers Inc. (Wheeling-based national chain; publishes Intelligencer & News-Register),https://www.theintelligencer.net,Daily
The Inter-Mountain,Elkins,Randolph,WV,PO Box 1339,Ogden Newspapers Inc. (owned by Ogden’s Elkins division),https://www.theintermountain.com,Daily except Sunday
The Jackson Herald,Ripley,Jackson,WV,PO Box 31,Gannett Co. Inc. (Jackson Newspapers / part of USA TODAY Network),https://www.jacksonnewspapers.com,Wednesday &amp; Saturday
The Jackson Star News,Ravenswood,Jackson,WV,PO Box 10,Gannett Co. Inc. (Jackson Newspapers / USA TODAY Network),https://www.jacksonnewspapers.com,Wednesday and Thursday
The Journal,Martinsburg,Berkeley,WV,PO Box 807,Ogden Newspapers Inc. (Journal Publishing Co.; owned by Ogden),https://www.journal-news.net,Daily
The Lincoln News Sentinel & Lincoln Journal,Hamlin,Lincoln,WV,PO Box 308,Independent (Lincoln Journal Inc.; family-owned),https://www.lincolnjournalinc.com,Wednesday and Saturday
The Logan Banner,Logan,Logan,WV,PO Box 720,"HD Media Group (part of the southern WV cluster including Williamson, Boone and Gilbert)",https://www.loganbanner.com,Daily except Saturday and Sunday
Mineral Daily News-Tribune,Keyser,Mineral,WV,PO Box 879,Ogden Newspapers Inc. (Keyser-based daily owned by Ogden),https://www.newstribune.info,Monday through Friday
The Monroe Watchman,Union,Monroe,WV,PO Box 179,Independent (Historic weekly founded 1872; family-operated),N/A,Thursday
The Montgomery Herald,Montgomery,Fayette,WV,PO Box 240,HD Media Group (Fayette County cluster with Fayette Tribune),https://www.montgomery-herald.com,Wednesday
The Moorefield Examiner,Moorefield,Hardy,WV,PO Box 380,Independent (Hardy County Publishing Co.; family-owned),https://www.moorefieldexaminer.com,Wednesday
The Morgan Messenger,Berkeley Springs,Morgan,WV,PO Box 567,Independent (Tri-State Publications Inc.; same owners as Hancock News MD),https://www.morganmessenger.com,Wednesday
Moundsville Echo,Moundsville,Marshall,WV,PO Box 369,Independent (Locally owned; small weekly publication),mailto:mdsvecho@gmail.com,Thursday
Mingo Messenger,Williamson,Mingo,WV,84 East 3rd Avenue Suite 11,Independent (Local digital/print startup unaffiliated with HD Media),http://www.mingomessenger.com,Friday
Mountain Messenger,Lewisburg,Greenbrier,WV,PO Box 429,Mountain Media LLC (local community weekly group),https://mountainmessenger.com,Saturday
The Mountain Statesman,Grafton,Taylor,WV,PO Box 218,NCWV Media (formerly News Media Corp. now part of WV News),https://www.mountainstatesman.com,"Monday, Wednesday, &amp; Friday"
The Nicholas Chronicle,Summersville,Nicholas,WV,PO Box 503,Nicholas County Publishing Co. (locally owned family weekly),https://www.nicholaschronicle.com,Thursday
The Parkersburg News & Sentinel,Parkersburg,Wood,WV,PO Box 1787,Ogden Newspapers Inc. (major WV/Oh Valley chain),https://www.newsandsentinel.com,Daily
The Parsons Advocate,Parsons,Tucker,WV,212 Main St.,Mountain Media LLC (community weekly group),https://www.parsonsadvocate.com,Wednesday
The Parthenon,Huntington,Wayne,WV,109 Communications Building – 1 John Marshall Dr,Marshall University Student Media (university-owned),https://www.marshallparthenon.com,Tuesday- Friday
The Pendleton Times,Franklin,Pendleton,WV,PO Box 906,Mountain Media LLC (community weekly group),https://www.pendletontimes.com,Thursday
The Pennsboro News,Pennsboro,Ritchie,WV,PO Box 368,Independent (local weekly; Ritchie County Publishing),N/A,Wednesday
The Pocahontas Times,Marlinton,Pocahontas,WV,206 Eighth St,The Pocahontas Times Inc. (locally owned heritage weekly),https://www.pocahontastimes.com,Thursday
River Cities Tribune and Register,Point Pleasant,Mason,WV,510 Main St.,Ogden Newspapers Inc. (owns Point Pleasant daily/weekly),https://www.newsandsentinel.com/tribune,Day previous
Preston County Journal,Kingwood,Preston,WV,PO Box 587,Independent (locally owned weekly; published under Preston County News umbrella),https://www.wvnews.com/prestoncountynews,Wednesday
Preston County News,Kingwood,Preston,WV,PO Box 587,WV News (part of WV News/NCWV Media regional group),https://www.wvnews.com/prestoncountynews,Saturday
Princeton Times,Princeton,Mercer,WV,PO Box 1199,Ogden Newspapers Inc. (Princeton Times Co.),http://www.ptonline.net,Friday
Record – Delta,Buckhannon,Upshur,WV,PO Box 550,News Media Corporation (semi-weekly daily group),https://www.therecorddelta.com,"Monday, Wednesday, &amp; Friday"
The Register-Herald,Beckley,Raleigh,WV,PO Box 801,Community Newspaper Holdings Inc. (CNHI),https://www.register-herald.com,Daily
Ritchie Gazette,Harrisville,Ritchie,WV,PO Box 215,Independent (locally owned weekly),N/A,Thursday
Shepherdstown Chronicle,Shepherdstown,Jefferson,WV,PO Box 2088,Independent (Shepherdstown Chronicle LLC),https://www.shepherdstownchronicle.com,Friday
Shinnston News & Journal,Shinnston,Harrison,WV,PO Box 187,Harrison County Publishing Co. / Mountain Media LLC (regional weekly operator),https://shinnstonnews.com,Thursday
The Spirit of Jefferson Advocate,Charles Town,Jefferson,WV,PO Box 966,Independent (locally owned heritage weekly),https://www.spiritofjefferson.com,Thursday
St. Mary’s Oracle,St. Marys,Pleasants,WV,PO Box 27,West Central Publishing Inc. (local chain),https://www.oracleandleader.com,Wednesday and Saturday
The Times Record & Roane County Reporter,Spencer,Roane,WV,210 E Main St,Independent (Roane Publishing Co.; family-owned weekly pair serving Roane County),https://www.thetimesrecord.net,Thursday
The Times West Virginian,Fairmont,Marion,WV,PO Box 2530,Community Newspaper Holdings Inc. (CNHI),https://www.timeswv.com,Daily
Tyler Star News,Sistersville,Tyler,WV,PO Box 191,Ogden Newspapers Inc.,https://www.tylerstarnews.com,Wednesday
Wayne County News,Wayne,Wayne,WV,310 Central Ave,HD Media Group (part of southern WV cluster including Logan Banner and Herald-Dispatch),https://www.waynecountynews.com,Wednesday
The Webster Echo & Republican,Webster Springs,Webster,WV,PO Box 749,Independent (local weekly published by Webster Publishing Co.),N/A,Wednesday
The Welch News,Welch,McDowell,WV,125 Wyoming St,Independent (community-owned and revived by local nonprofit foundation),https://www.welchnews.com,"Monday, Wednesday, Friday"
The Weston Democrat,Weston,Lewis,WV,PO Box 968,NCWV Media (WV News regional group),https://www.westondemocrat.com,Wednesday
Weirton Daily Times,Weirton,Hancock,WV,114 Lee Ave,Ogden Newspapers Inc.,https://www.weirtondailytimes.com,Daily except Sunday
West Virginia Daily News,Lewisburg,Greenbrier,WV,PO Box 471,Greenbrier Valley Publishing Co. (Independent; owns West Virginia Daily News & Monroe Watchman),https://www.wvdailynews.net,Monday through Friday
Wetzel Chronicle,New Martinsville,Wetzel,WV,PO Box 289,Ogden Newspapers Inc. (NC WV cluster with Tyler Star News and Intelligencer),https://www.wetzelchronicle.com,Wednesday
Wheeling News-Register,Wheeling,Ohio,WV,1500 Main St,Ogden Newspapers Inc. (flagship paper of the Ogden chain sister to The Intelligencer),https://www.news-register.net,Daily
Williamson Daily News,Williamson,Mingo,WV,PO Box 1660,HD Media Group (regional chain covering southern WV including Logan Banner and Wayne County News),https://www.williamsondailynews.com,Daily
Wirt County Journal,Elizabeth,Wirt,WV,PO Box 309,Independent (locally owned weekly; not affiliated with major WV chains),N/A,Wednesday
