City (County),Paper Name,Website Url,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Audit Sources,Audit Notes
Centreville (Bibb),Centreville Press,www.centrevillepress.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Chatom (Washington),Washington County News,www.washcountynews.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Citronelle (Mobile),Call News,www.thecallnews.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Clanton (Chilton),The Clanton Advertiser,www.clantonadvertiser.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Clayton (Barbour),The Clayton Record,www.claytonrecord.com,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Columbiana (Shelby),Shelby County Reporter,www.shelbycountyreporter.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Cullman (Cullman),The Cullman Times,www.cullmantimes.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Cullman (Cullman),The Cullman Tribune,www.cullmantribune.com,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Dadeville (Tallapoosa),The Dadeville Record,https://www.tpimediagroup.org/thedadevillerecord/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Daphne/Fairhope (Baldwin),The Courier,www.gulfcoastmedia.com/the-courier/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Decatur (Morgan),The Decatur Daily,www.decaturdaily.com,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 2 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Linden (Marengo),The Leader,@MarengoCountyLeader,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Dothan (Houston),Dothan Eagle,www.dothaneagle.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+Heuristic:Lee+RSS,"RSS present (indicates article content) | Chain heuristic: Lee, not PDF-only | Chain heuristic: Lee, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Elba (Coffee),The Elba Clipper,www.elba-clipper.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Enterprise (Coffee),The Enterprise Ledger,www.dothaneagle.com/community/enterprise-ledger/,No,No,Yes,Yes,Yes,Homepage+Heuristic:Lee+RSS,"RSS present (indicates article content) | Chain heuristic: Lee, not PDF-only | Chain heuristic: Lee, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Eufaula (Barbour),Eufaula Tribune,www.dothaneagle.com/community/eufaula-tribune/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Eutaw (Greene),Greene County Democrat,www.greenecodemocrat.com,No,No,Yes,No,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present
Eutaw (Greene),Greene County Independent,www.facebook.com/people/Greene-County-Independent-Inc/100064165923881/,No,No,Yes,No,Yes,Homepage,Homepage contains paywall keywords | No notices found | Viewport meta tag present
Evergreen (Conecuh),The Evergreen Courant,,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,,
Fayette (Fayette),The Times-Record,www.mytrpaper.com,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Flomaton (Escambia),Tri-City Ledger,www.tricityledger.com,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 1 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Florala (Covington),The Florala News,www.theflorala.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Florence (Lauderdale),TimesDaily,www.timesdaily.com,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 10 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Foley (Baldwin),The Baldwin Times,www.baldwintimes.com,No,No,Yes,No,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present
Foley (Baldwin),The Onlooker,www.gulfcoastmedia.com/the-onlooker/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Fort Deposit (Lowndes),The Lowndes Signal,www.lowndessignal.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Fort Payne (Dekalb),The Fort Payne Times-Journal,www.times-journal.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Gadsden (Etowah),The Gadsden Times,www.gadsdentimes.com,Yes,No,Yes,Yes,Yes,Homepage+Heuristic:Gannett,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Gadsden (Etowah),The Messenger,www.gadsdenmessenger.com,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 20 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Gilbertown (Choctaw),The Choctaw Sun-Advocate,www.choctawsun.org,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Greensboro (Hale),The Greensboro Watchman,www.greensborowatchman.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Greenville (Butler),The Greenville Advocate,www.greenvilleadvocate.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Greenville (Butler),The Greenville Standard,www.thegreenvillestandard.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Grove Hill (Clarke),Clarke County Democrat,www.clarkecountydemocrat.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Gulf Shores (Baldwin),The Islander,www.gulfcoastmedia.com/the-islander/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Guntersville (Marshall),Advertiser-Gleam,www.advertisergleam.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Haleyville (Winston),Northwest Alabamian,www.mynwapaper.com,Yes,No,Yes,Yes,Yes,Homepage+RSS,Found 1 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Hamilton (Marion),Journal Record,www.myjrpaper.com,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Hartselle (Morgan),Hartselle Enquirer,www.hartselleenquirer.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Huntsville (Madison),Speakin’ Out News,www.speakinoutweeklynews.net,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 2 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Jackson (Clarke),The South Alabamian,www.southalabamian.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Jasper (Walker),Daily Mountain Eagle,www.mountaineagle.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Lafayette (Chambers),LaFayette Sun,www.wilcoxnewspapers.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Lanett (Chambers),The Valley Times-News,www.valleytimes-news.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Lineville (Clay),The Clay Times-Journal,www.claytimesjournal.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Livingston (Sumter),Sumter County Record-Journal,www.recordjournal.net/,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 5 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Luverne (Crenshaw),The Luverne Journal,www.luvernejournal.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Madison (Madison),The Madison County Record,www.themadisonrecord.com/category/madison-county-record/,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Marion (Perry),Times-Standard Herald,www.mariontimes.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Millport (Lamar),The West Alabama Gazette,www.alabamagazette.com,Yes,No,Yes,No,Yes,Sitemap+Homepage+RSS,Found 12 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present
Mobile (Mobile),Lagniappe,www.lagniappemobile.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Monroeville (Monroe),The Monroe Journal,www.monroejournal.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Montgomery (Montgomery),Montgomery Advertiser,www.montgomeryadvertiser.com,Yes,No,Yes,Yes,Yes,Homepage+Heuristic:Gannett,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Montgomery (Montgomery),The Montgomery Independent,www.montgomeryindependent.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Moulton (Lawrence),The Moulton Advertiser,www.moultonadvertiser.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Moundville (Hale),Moundville Times,www.moundvilletimes.net,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Northport (Tuscaloosa),The Northport Gazette,,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,,
Oneonta (Blount),The Blount Countian,www.blountcountian.com,No,No,Yes,Yes,Yes,Sitemap+Homepage,Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Opelika (Lee),The Observer,www.opelikaobserver.com,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 1 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Opelika (Lee),Opelika-Auburn News,www.oanow.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+Heuristic:Lee+RSS,"RSS present (indicates article content) | Chain heuristic: Lee, not PDF-only | Chain heuristic: Lee, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Ozark (Dale),The Southern Star,www.ozarkal.news,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Pell City (St. Clair),St. Clair News-Aegis,www.newsaegis.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | RSS feed contains paywall hints | Homepage contains public notice keywords | Viewport meta tag present
Phenix City (Russell),The Citizen of East Alabama,www.citizenofeastalabama.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Prattville (Autauga),Prattville Progress,www.montgomeryadvertiser.com/news/prattville/,Yes,No,Yes,Yes,Yes,Homepage+Heuristic:Gannett,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Rainsville (DeKalb),Mountain Valley News,www.mountainvalleynewspaper.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Red Bay (Franklin),The Red Bay News,www.trbnews.net,No,No,No,No,No,Sitemap+Homepage+RSS,RSS present (indicates article content) | No paywall signals found | No notices found | No responsive indicators
Roanoke (Randolph),The Randolph Leader,www.therandolphleader.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Rockford (Coosa),The Coosa County News,www.thecoosacountynews.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Rogersville (Lauderdale),East Lauderdale News,www.eastlauderdalenews.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Russellville (Franklin),Franklin County Times,www.franklincountytimes.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Scottsboro (Jackson),The Jackson County Sentinel,www.jcsentinel.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Selma (Dallas),The Selma Times-Journal,www.selmatimesjournal.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Selma (Dallas),Selma Sun,www.selmasun.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Stevenson (Jackson),North Jackson Press,www.northjacksonpress.com,No,No,No,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | No paywall signals found | Homepage contains public notice keywords | Viewport meta tag present
Sulligent (Lamar),Lamar Leader,www.lamarleadernews.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | RSS feed contains notice keywords | Viewport meta tag present
Talladega (Talladega),The Daily Home,www.annistonstar.com/the_daily_home/,No,No,Yes,Yes,Yes,Heuristic:Gannett+RSS+Homepage,"RSS present (indicates article content) | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Tallassee (Elmore),Tallassee Tribune,www.tallasseetribune.com,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Thomasville (Clarke),Thomasville Times,www.thethomasvilletimes.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Troy (Pike),The Messenger,www.troymessenger.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Tuscaloosa (Tuscaloosa),The Tuscaloosa News,www.tuscaloosanews.com,Yes,No,Yes,Yes,Yes,Homepage+Heuristic:Gannett,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Tuscumbia (Colbert),Colbert County Reporter,,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,,
Tuskegee (Macon),The Tuskegee News,www.tuskegeenews.wordpress.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Union Springs (Bullock),Union Springs Herald,www.unionspringsherald.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Vernon (Lamar),The Lamar Democrat,www.lamardemocratnews.com,No,No,Yes,No,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present
Wetumpka (Elmore),Wetumpka Herald,www.thewetumpkaherald.com,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
