City,Paper Name,Website Url,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Audit Sources,Audit Notes
Newton,New Jersey Herald,https://www.njherald.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Vineland,The Daily Journal,https://www.thedailyjournal.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Bergen / Passaic,The Record (Bergen Record),https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
South Jersey,South Jersey Times,https://www.nj.com/southjerseytimes/,No,No,Yes,Yes,Yes,Homepage+Heuristic:Gannett,"Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Jersey City (digital),The Jersey Journal,https://www.nj.com/jersey-journal/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Princeton,Princeton Packet,https://centraljersey.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Cranbury,Cranbury Press,https://centraljersey.com/cranbury-press/,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Hillsborough,Hillsborough Beacon,https://centraljersey.com/hillsborough-beacon/,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Hopewell / Pennington,Hopewell Valley News,https://centraljersey.com/hopewell-valley-news/,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Lawrence Township,Lawrence Ledger,https://centraljersey.com/lawrence-ledger/,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Bordentown,Bordentown Register News,https://centraljersey.com/bordentown-register-news/,No,No,No,No,Manual Review,RSS,RSS present (indicates article content) | No paywall signals found | No notices found | No homepage HTML available
East Windsor / Hightstown,Windsor-Hights Herald,https://centraljersey.com/windsor-hights-herald/,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Bernardsville,Bernardsville News,https://www.bernardsvillenews.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Cedar Grove / Verona,Cedar Grove-Verona Observer,https://www.newjerseyhills.com/cedar_grove_verona_observer/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Chatham,Chatham Courier,https://www.chathamcourier.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Denville / Morris County,The Citizen of Morris County,https://www.denvillecitizen.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Warren Township / Long Hill,Echoes-Sentinel,https://www.echoes-sentinel.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Florham Park,Florham Park Eagle,https://www.florhamparkeagle.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Hanover Township,Hanover Eagle,https://www.hanovereagle.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Hunterdon County,Hunterdon Review,https://www.hunterdonreview.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Madison,Madison Eagle,https://www.madisoneagle.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Morris Plains / Whippany,Morris NewsBee,https://www.morrisnewsbee.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Chester / Mendham / Washington Twp,Observer-Tribune,https://www.observer-tribune.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Caldwell / West Caldwell,The Progress,https://www.theprogressnj.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
West Morris,West Morris Reporter,https://www.newjerseyhills.com/west_morris_reporter/,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Manasquan,The Coast Star,https://starnewsgroup.com/,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 12 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Point Pleasant Beach,The Ocean Star,https://starnewsgroup.com/,Yes,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,Found 12 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Belleville,Belleville Post,https://www.essexnewsdaily.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Glen Ridge,The Glen Ridge Paper,https://www.essexnewsdaily.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Bloomfield,Independent Press of Bloomfield,https://www.essexnewsdaily.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Irvington,Irvington Herald,https://www.essexnewsdaily.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Maplewood & South Orange,News-Record,https://www.essexnewsdaily.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Nutley,Nutley Journal,https://www.essexnewsdaily.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
West Orange,West Orange Chronicle (Record-Transcript),https://www.essexnewsdaily.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Union County,Union County LocalSource,https://unionnewsdaily.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Cape May,Cape May Star & Wave,https://www.starandwave.com/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Ocean City,Ocean City Sentinel,https://www.oceancitysentinel.com/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Somers Point / Linwood / Northfield,"The Sentinel of Somers Point, Linwood and Northfield",https://www.oceancitysentinel.com/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Upper Township,Upper Township Sentinel,https://www.oceancitysentinel.com/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Red Bank / Two Rivers,Two River Times,https://tworivertimes.com/,No,No,Yes,No,No,Homepage+Sitemap+RSS,RSS present (indicates article content) | RSS feed contains paywall hints | No notices found | No responsive indicators
Asbury Park,The Coaster,https://thecoaster.net/,No,No,Yes,No,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present
Surf City / LBI,The SandPaper,https://www.thesandpaper.net/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Hammonton,The Hammonton Gazette,https://www.hammontongazette.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Rio Grande / Cape May County,Cape May County Herald,https://capemaycountyherald.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Kearny,The Observer (West Hudson),https://www.theobserver.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Livingston,West Essex Tribune,https://www.westessextribune.net/,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
South Plainfield,South Plainfield Observer,https://www.spobserver.com/,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Lakewood,The Voice of Lakewood,https://thevoiceoflakewood.com/,No,No,Yes,No,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present
Westfield / Union County,The Westfield Leader,https://www.goleader.com/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Ridgewood,The Ridgewood News,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Wayne,Wayne Today,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Montclair,The Montclair Times,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Cresskill / Northern Valley,Northern Valley Suburbanite,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Pascack Valley,Pascack Valley Community Life,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Butler / Riverdale,Suburban Trends,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Verona / Cedar Grove,Verona-Cedar Grove Times,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Bergenfield / Dumont / New Milford,Twin-Boro News,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Wyckoff / Franklin Lakes,Town Journal,https://www.northjersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Teaneck,The Jewish Link,https://jewishlink.news/,No,No,Yes,Yes,Yes,Homepage+Sitemap+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
