State,City,Paper Name,Website Url,County,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Chain Owner,CMS Vendor,Audit Sources,Audit Notes
MN,Cloquet,Cloquet - The Pine Knot,https://www.pineknotnews.com,Carlton,No,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
MN,Crosby,"Crosby - Ironton Courier, Inc. ",https://www.crosbyirontoncourer.com,Crow Wing,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.crosbyirontoncourer.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x106f665d0>: Failed to resolve 'www.crosbyirontoncourer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
MN,Litchfield,Dassel - The Enterprise Dispatch,https://www.saukherald.com,Meeker,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 403
MN,Detroit Lakes,Detroit Lakes Tribune,https://www.dl-online.com,Becker,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Homepage snapshot truncated to 500,000 characters"
MN,Duluth,Duluth News Tribune,https://www.duluthnewstribune.com,St. Louis,Yes,No,Yes,Yes,Yes,Manual Review,Arc XP,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): javascript:clickEpaper() | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Arc XP): thearc | Homepage snapshot truncated to 500,000 characters"
MN,Apple Valley,Eagan - Sun Thisweek,https://www.sunthisweek.com,Dakota,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS,"Homepage contains e-edition style link(s): https://sunthisweek-mn.newsmemory.com/, https://sunthisweek-mn.newsmemory.com/?editionStart=Sun+This+Week+Lakeville, https://sunthisweekburnsville-mn.newsmemory.com/?editionStart=Sun+This+Week+Burnsville | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Eden Prairie,Eden Prairie - Sun Current,https://www.hometownsource.com,Hennepin,No,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Elbow Lake,Elbow Lake - Grant County Herald,https://www.grantcountyherald.com,Grant,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Found 2 PDF links on homepage | RSS present (indicates article content) | RSS feed contains paywall hints | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Elk River,Elk River Star News,https://www.swnewsmedia.com,Sherburne,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Ely,Ely Echo,https://www.elyecho.com,St. Louis,Yes,No,Yes,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,Homepage contains e-edition style link(s): https://publisher.etype.services/ely-echo | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
MN,Cook,Ely Timberjay,https://www.timberjay.com,St. Louis,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 403
MN,Faribault,Faribault Daily News,https://www.southernminn.com,Rice,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition, /eedition/, /eedition/faribault/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Fergus Falls,Fergus Falls Daily Journal,https://www.fergusfallsjournal.com,Otter Tail,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/, https://www.fergusfallsjournal.com/eedition/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Shoreview,Fridley - Sun Focus,https://www.presspubs.com/sun-focus,Ramsey,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 404
MN,Winsted,Glencoe - The McLeod County Chronicle,https://www.glencoenews.com,McLeod,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Found 12 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Glenwood,Glenwood / Starbuck - Pope County Tribune,https://www.pctribune.com,Pope,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /e-edition/, https://pctribune.com/e-edition/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Grand Rapids,Grand Rapids Herald-Review,https://www.grandrapidsmn.com,Itasca,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Found 3 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Granite Falls,Granite Falls - The Advocate-Tribune,https://www.advocatetribune.com,Yellow Medicine,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.advocatetribune.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12246ca50>: Failed to resolve 'www.advocatetribune.com' ([Errno 8] nodename nor servname provided, or not known)""))"
MN,Hastings,Hastings Star Gazette,https://www.hastingsstargazette.com,Dakota,No,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Hector,Hector - The Messenger,https://www.themessenger.com,Renville,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))"
MN,Henderson,Henderson - Sibley County Herald-Press,https://www.hometownsource.com,Sibley,No,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Hibbing,Hibbing / Virginia - Mesabi Tribune,https://www.mesabitribune.com,St. Louis,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition, https://mesabitribune-mn.newsmemory.com/, https://mesabitribune-mn.newsmemory.com/?editionStart=Mesabi+Tribune | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Hutchinson,Hutchinson Leader,https://www.hutchinsonleader.com,McLeod,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 404
MN,Jackson,Jackson County Pilot,https://www.jacksoncountypilot.com,Jackson,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Found 1 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Kasson,Kasson - Dodge County Independent,https://www.DodgeCountyIndependent.com,Dodge,No,No,Yes,Yes,Yes,Manual Review,Drupal,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Drupal): drupal.settings, drupal"
MN,Lake City,Lake City Graphic,https://www.lakecitygraphic.com,Goodhue,Yes,No,Yes,Yes,Yes,Manual Review,Drupal,Homepage+RSS,"Homepage contains e-edition style link(s): /e-edition/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Drupal): drupal.settings, drupal"
MN,Lake Crystal,Lake Crystal Tribune,https://www.southernminn.com,Blue Earth,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition, /eedition/, /eedition/faribault/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Lakefield,Lakefield Standard,https://www.lakefieldstandard.com,Jackson,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS+Sitemap,"Found 1 PDF links on homepage | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Litchfield,Litchfield Independent Review,https://www.independent-review.com,Meeker,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 404
MN,Little Falls,Little Falls - Morrison County Record,https://www.mcrecord.com,Morrison,Yes,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS,"Homepage contains e-edition style link(s): https://morrisoncounty-mn.newsmemory.com, https://morrisoncounty-mn.newsmemory.com/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews"
MN,Long Prairie,Long Prairie Leader,https://www.es.lpleader.com,Todd,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.es.lpleader.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.es.lpleader.com'. (_ssl.c:1032)"")))"
MN,Luverne,Luverne - The Rock County Star Herald,https://www.hometownsource.com,Rock,No,No,Yes,Yes,Yes,Manual Review,TownNews/BLOX,Homepage+RSS+Sitemap,"RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (TownNews/BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters"
MN,Madelia,Madelia Times-Messenger,https://www.times-messenger.com,Watonwan,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.times-messenger.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12246c7d0>: Failed to resolve 'www.times-messenger.com' ([Errno 8] nodename nor servname provided, or not known)""))"
MN,Marshall,Marshall Independent,https://www.marshallindependent.com,Lyon,Yes,No,Yes,Yes,Yes,Ogden,WordPress,Homepage+Heuristic:Ogden,"Found 1 PDF links on homepage | Chain heuristic: Ogden, not PDF-only | Chain heuristic: Ogden, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present | Detected chain indicators (Ogden): ogden newspapers, ogdennews | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,McGregor,McGregor - The Voyageur Press,https://www.thevoyageurpress.com,Aitkin,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))"
MN,McIntosh,McIntosh Times,,Polk,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,Manual Review,,
MN,Monticello,Monticello Times,https://www.monticellotimes.com,Wright,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,"No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch failed: HTTPSConnectionPool(host='www.monticellotimes.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.monticellotimes.com'. (_ssl.c:1032)"")))"
MN,Montgomery,Montgomery Messenger,https://www.montgomerymnnews.com,Le Sueur,No,No,No,Yes,Yes,Manual Review,Drupal,Homepage+RSS,"RSS present (indicates article content) | No paywall signals found | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (Drupal): drupal-settings-json, drupal"
MN,Moorhead,Moorhead - The Extra Newspaper,https://www.thefmextra.com,Clay,Yes,No,Yes,Yes,Yes,Manual Review,WordPress,Homepage+RSS,"Homepage contains e-edition style link(s): https://www.thefmextra.com/e-editions/ | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Shoreview,New Brighton - Bulletin,https://www.presspubs.com/bulletin,Ramsey,Manual Review,Manual Review,No,No,Manual Review,Manual Review,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available | No homepage HTML available | No homepage HTML available | Homepage fetch returned HTTP 404
MN,New Richland,New Richland - NRHEG Star Eagle,https://www.newrichlandstar.com,Waseca,Yes,No,No,Yes,Yes,Manual Review,Manual Review,Homepage+RSS+Sitemap,Found 19 PDF links on homepage | Sitemap shows 0% PDF URLs | RSS present (indicates article content) | No paywall signals found | Homepage contains public notice keywords | Viewport meta tag present
MN,New Ulm,New Ulm Journal,https://www.nujournal.com,Brown,Yes,No,Yes,Yes,Yes,Ogden,WordPress,Homepage+Heuristic:Ogden,"Found 1 PDF links on homepage | Chain heuristic: Ogden, not PDF-only | Chain heuristic: Ogden, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present | Detected chain indicators (Ogden): ogden newspapers, ogdennews | Detected CMS indicators (WordPress): wp-content, wp-includes, wordpress, wp-json"
MN,Olivia,Olivia - Olivia Times Journal,https://www.oliviajournal.com,Renville,No,No,Yes,No,Yes,Gannett,Manual Review,Homepage+RSS+Heuristic:Gannett,"RSS present (indicates article content) | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | No notices found | Viewport meta tag present | Detected chain indicators (Gannett): usa today | Homepage snapshot truncated to 500,000 characters"
